序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
571,zynsdpd-bot,ABC1319/zynsdpd-bot,https://github.com/ABC1319/zynsdpd-bot,"AI副业赚钱导航,https://zynsdpd-bot.vercel.de5.net/",https://zynsdpd-bot.vercel.app/,,0,0,0,0,main,2026-05-13T08:57:54Z,2026-05-13T08:59:36Z,2026-05-02T09:24:14Z,464,True,False,,,ABC1319,User
572,ai-tools-nav0,ABC1319/ai-tools-nav0,https://github.com/ABC1319/ai-tools-nav0,"AI工具导航网站,https://ai-tools-nav0.vercel.de5.net/",https://ai-tools-nav0.vercel.app/,,0,0,0,0,master,2026-05-13T08:54:02Z,2026-05-13T08:55:52Z,2026-04-27T12:16:30Z,231,True,False,,,ABC1319,User
573,ai-tools-nav,ABC1319/ai-tools-nav,https://github.com/ABC1319/ai-tools-nav,"AI 工具导航网站,https://ai-tools-nav.vercel.de5.net/",https://ai-tools-nav-eta.vercel.app/,,0,0,0,0,主要的,2026-05-13T08:51:17Z,2026-05-13T08:52:49Z,2026-05-05T12:38:27Z,67,True,False,,,ABC1319,User
574,ai-links,ABC1319/ai-links,https://github.com/ABC1319/ai-links,AI 导航 - 常用 AI 工具链接汇，有托管在cf,https://ai-links.13145219.xyz,,0,0,0,0,main,2026-05-13T08:46:44Z,2026-05-13T08:50:30Z,2026-04-30T12:08:28Z,5,True,False,,,ABC1319,User
575,openi-clone,ABC1319/openi-clone,https://github.com/ABC1319/openi-clone,OpenI AI导航平台 - 前卫时尚复刻版，https://openi-clone.vercel.de5.net/,https://openi-clone.vercel.app/,,0,0,0,0,main,2026-05-13T08:13:29Z,2026-05-13T08:14:51Z,2026-04-24T16:57:37Z,57,True,False,,,ABC1319,User
576,ainav,ABC1319/ainav,https://github.com/ABC1319/ainav,快点 AI 导航 - 发现最好的 AI 工具，https://ainav.vercel.de5.net/,https://ainav-pi.vercel.app/,,0,0,0,0,main,2026-05-13T08:08:28Z,2026-05-13T08:09:49Z,2026-04-29T14:26:10Z,363,True,False,,,ABC1319,User
577,ai-hub0,ABC1319/ai-hub0,https://github.com/ABC1319/ai-hub0,全球 AI 中心 · 新闻 + 工具导航，https://ai-hub0.vercel.de5.net/,https://ai-hub0.vercel.app/,,0,0,0,0,main,2026-05-13T08:02:48Z,2026-05-13T08:06:39Z,2026-05-10T15:04:17Z,170,True,False,,,ABC1319,User
578,ai-nav0,ABC1319/ai-nav0,https://github.com/ABC1319/ai-nav0,AI工具箱 - 最好用的AI工具导航站，https://ai-nav0.vercel.de5.net/,https://ai-nav0.vercel.app/,,0,0,0,0,main,2026-05-13T08:00:29Z,2026-05-13T08:02:09Z,2026-05-07T06:40:11Z,6,True,False,,,ABC1319,User
579,ai123,ABC1319/ai123,https://github.com/ABC1319/ai123,ai导航网站，https://ai123.vercel.de5.net/,https://ai123-gules.vercel.app/,,0,0,0,0,main,2026-05-13T07:55:09Z,2026-05-13T07:56:54Z,2026-05-07T13:09:56Z,11,True,False,,,ABC1319,User
580,p-ai,ABC1319/p-ai,https://github.com/ABC1319/p-ai,PornNav是一款大胆且创新的导航网站，UI和配色灵感完全来源于Pornhub，呈现出简洁、现代的设计风格。平台通过AI技术生成链接，并提供直观、互动的浏览体验，轻松导航各类网站资源。无论你是在寻找快捷入口，还是希望探索更多内容，PornNav都能为你带来一个独特的互联网浏览体验。https://p-ai.vercel.de5.net/,https://p-ai-kappa.vercel.app/,HTML,0,0,0,0,main,2026-05-13T06:35:09Z,2026-05-13T07:52:41Z,2026-05-13T07:50:33Z,428,True,False,,MIT,ABC1319,User
581,ai-nav,ABC1319/ai-nav,https://github.com/ABC1319/ai-nav,AI工具导航站 - 基于Next.js+Prisma，https://ai-nav.vercel.de5.net/,https://ai-nav-ten.vercel.app/,,0,0,0,0,main,2026-05-13T06:30:10Z,2026-05-13T06:55:59Z,2026-05-12T15:28:05Z,233,True,False,,MIT,ABC1319,User
582,AIcreatewebsite4,ABC1319/AIcreatewebsite4,https://github.com/ABC1319/AIcreatewebsite4,trae工具生成的AI导航站,https://a-icreatewebsite4.vercel.de5.net/,,0,0,0,0,main,2026-05-13T06:24:22Z,2026-05-13T06:28:43Z,2026-05-11T05:40:30Z,117,True,False,,,ABC1319,User
583,ai-hub,ABC1319/ai-hub,https://github.com/ABC1319/ai-hub,AI工具导航站点 - 文本、图像、视频,https://ai-hub.vercel.de5.net/,,0,0,0,0,main,2026-05-13T06:16:38Z,2026-05-13T06:22:34Z,2026-05-12T06:21:46Z,382,True,False,,,ABC1319,User
584,navbook,ABC1319/navbook,https://github.com/ABC1319/navbook,NavBook 航书 全资源智能导航系统 一站式发现、管理与触达！全资源汇聚，智能导航！让每一个资源都触手可及！🌐 网址导航 • 🌍 社交媒体导航 • 📱 二维码导航 • 💬 公众号导航 • 🔖 书签导航 • 📖 知识库导航 • 🤖 AI 导航 • 🔌 MCP 导航 • ⌨️ CLI 导航 • 🎯 Skill 导航 • 🕵️ Agent 导航,,,0,0,0,0,main,2026-05-13T06:12:38Z,2026-05-13T06:12:38Z,2026-05-11T15:19:41Z,81,True,False,,Apache-2.0,ABC1319,User
585,aihub,ABC1319/aihub,https://github.com/ABC1319/aihub,ai工具导航网站,https://ai999999.top,,0,0,0,0,main,2026-05-13T06:08:34Z,2026-05-13T06:08:34Z,2026-05-11T01:48:57Z,3859,True,False,,,ABC1319,User
586,ai-daohang,ABC1319/ai-daohang,https://github.com/ABC1319/ai-daohang,ai工具导航,https://ai-daohang.vercel.de5.net/,,0,0,0,0,main,2026-05-13T05:51:36Z,2026-05-13T06:06:47Z,2026-05-10T18:06:07Z,129,True,False,,,ABC1319,User
587,ai-navigator,ABC1319/ai-navigator,https://github.com/ABC1319/ai-navigator,🤖 AI 工具导航 - 每天自动更新最新 AI 工具，中文介绍，affiliate 变现，https://ai-navigator.vercel.de5.net/,https://abc1319.github.io/ai-navigator/,,0,0,0,0,main,2026-05-13T05:45:35Z,2026-05-13T06:05:08Z,2026-05-12T22:00:22Z,114,True,False,,,ABC1319,User
588,xininn2018,ABC1319/xininn2018,https://github.com/ABC1319/xininn2018,馨客栈2018官方源码，https://xininn2018.vercel.de5.net/,https://abc1319.github.io/xininn2018,,0,0,0,0,master,2026-05-13T02:21:01Z,2026-05-13T06:03:06Z,2022-12-01T17:44:15Z,2398,True,False,,,ABC1319,User
589,quickapis-site,ABC1319/quickapis-site,https://github.com/ABC1319/quickapis-site,AI工具导航站，https://quickapis-site.vercel.de5.net/,https://quickapis-site.vercel.app,,0,0,0,0,main,2026-05-13T05:46:29Z,2026-05-13T06:02:07Z,2026-05-13T00:46:03Z,13731,True,False,,,ABC1319,User
590,mxdl-ai,ABC1319/mxdl-ai,https://github.com/ABC1319/mxdl-ai,MXDL AI - AI工具导航站,https://mxdl-ai.vercel.de5.net/,,0,0,0,0,master,2026-05-13T05:52:36Z,2026-05-13T05:56:00Z,2026-05-10T07:24:55Z,637,True,False,,,ABC1319,User
591,index8,ABC1319/index8,https://github.com/ABC1319/index8,https://index8.vercel.de5.net/,https://index8-omega.vercel.app,HTML,0,0,0,0,main,2026-05-13T02:44:43Z,2026-05-13T03:58:40Z,2026-05-13T03:18:34Z,3992064,True,False,,,ABC1319,User
592,2026web,ABC1319/2026web,https://github.com/ABC1319/2026web,壹号站台,http://yihaozhan.xyz/,HTML,0,0,0,0,main,2026-05-13T02:00:08Z,2026-05-13T02:13:58Z,2026-05-13T02:13:53Z,1159,True,False,,,ABC1319,User
593,noisework,ABC1319/noisework,https://github.com/ABC1319/noisework,#主页 #引导页 ⭐️多模式个人主页展示页，🌈带pwa模式，多组件效果，可随时切换的引导页🎉 添加右键弹出菜单，RSS动态文章卡片，视频播放📫ADS广告位,http://www.noisework.cn,JavaScript,0,0,0,0,master,2024-08-17T22:49:59Z,2026-05-13T01:54:55Z,2026-05-13T01:54:15Z,353619,True,False,,MIT,ABC1319,User
594,xiaobao,ABC1319/xiaobao,https://github.com/ABC1319/xiaobao,宝2024，https://abc1319.github.io/xiaobao/,https://xiaobao.vercel.de5.net/,,0,0,0,0,main,2026-05-13T01:39:36Z,2026-05-13T01:45:31Z,2024-11-27T14:26:15Z,4243,True,False,,,ABC1319,User
595,Simple-Nav,ABC1319/Simple-Nav,https://github.com/ABC1319/Simple-Nav,一款自用的导航站，小白纯AI生成，基于维格云表格（最多1000行）数据搭建，更改src/components/Navbar.vue第77行内容，https://vika.cn,https://simple-nav.vercel.de5.net/,Vue,0,0,0,0,main,2025-06-03T02:11:24Z,2026-05-11T05:24:42Z,2026-05-11T04:29:40Z,1194,True,False,,,ABC1319,User
596,oiio-nav,ABC1319/oiio-nav,https://github.com/ABC1319/oiio-nav,一个优雅的书签收藏与分享平台，基于Cloudflare Workers构建.js/html与functions/index.js,https://oiio-nav.pages.dev/,JavaScript,0,0,0,0,main,2026-04-03T15:00:29Z,2026-05-11T03:15:12Z,2026-04-07T08:59:52Z,858,False,False,,MIT,ABC1319,User
597,navsite,ABC1319/navsite,https://github.com/ABC1319/navsite,【水果导航】一个基于飞书多维表格数据的导航网站，https://dcnrs5a3c00i.feishu.cn/drive/,https://testnav-one.vercel.app/,,0,0,0,0,master,2026-04-11T17:05:25Z,2026-05-11T03:02:30Z,2025-12-17T12:29:21Z,8334,True,False,,,ABC1319,User
598,navsite1,ABC1319/navsite1,https://github.com/ABC1319/navsite1,飞书云文档表格为数据源制作导航，https://dcnrs5a3c00i.feishu.cn/drive/,https://navsite1.vercel.de5.net/,JavaScript,0,0,0,0,main,2026-04-12T03:51:23Z,2026-05-11T03:02:21Z,2026-04-12T03:51:33Z,8237,False,True,,,ABC1319,User
599,Collect-IPTV,ABC1319/Collect-IPTV,https://github.com/ABC1319/Collect-IPTV,📡IPTV节目源收集，每4小时更新！！,https://abc1319.github.io/Collect-IPTV/.github/workflows/index.html,,0,0,0,0,main,2026-05-10T14:50:00Z,2026-05-10T14:58:54Z,2026-05-10T14:53:24Z,9241,True,False,,Apache-2.0,ABC1319,User
600,pintree-pro,ABC1319/pintree-pro,https://github.com/ABC1319/pintree-pro,书签pro，https://pintree-pro.netlify.app/,https://pro-pintree.vercel.de5.net/,HTML,0,0,0,0,main,2026-05-10T12:42:21Z,2026-05-10T13:48:19Z,2026-05-10T13:48:15Z,3180,False,True,,MIT,ABC1319,User
601,pro_miaotoolnav,ABC1319/pro_miaotoolnav,https://github.com/ABC1319/pro_miaotoolnav,"升级版喵喵工具集,https://pro-miaotoolnav.vercel.de5.net/",https://pro-miaotool.netlify.app/,HTML,0,0,0,0,main,2026-05-09T08:24:20Z,2026-05-10T05:54:54Z,2026-05-10T05:54:49Z,2123,True,False,,MIT,ABC1319,User
602,oldstyle_miaotoolnav,ABC1319/oldstyle_miaotoolnav,https://github.com/ABC1319/oldstyle_miaotoolnav,"旧版的喵喵工具集,https://oldstyle-miaotoolnav.vercel.de5.net/",https://oldstyle-miaotool.netlify.app/,CSS,0,0,0,0,main,2026-05-09T08:24:00Z,2026-05-10T05:53:53Z,2026-05-10T05:53:49Z,303,True,False,,MIT,ABC1319,User
603,Pintree-fav,ABC1319/Pintree-fav,https://github.com/ABC1319/Pintree-fav,用pintree生成可分享的网络收藏夹，https://fav.bugstack.icu/,https://pintree-fav.vercel.de5.net/,CSS,0,0,0,0,main,2026-05-09T11:30:59Z,2026-05-09T14:27:05Z,2026-05-09T14:27:01Z,1065,True,False,,MIT,ABC1319,User
604,pintree-web,ABC1319/pintree-web,https://github.com/ABC1319/pintree-web,书签分类导航，玩书签就和pintree打印复制树一样！https://github.com/hygge666/pintree-websorces,https://pintree-web.vercel.de5.net/,CSS,0,0,0,0,main,2026-05-09T14:05:44Z,2026-05-09T14:21:53Z,2026-05-09T14:20:59Z,4863,False,False,,MIT,ABC1319,User
605,newstyle_miaotoolnav,ABC1319/newstyle_miaotoolnav,https://github.com/ABC1319/newstyle_miaotoolnav,新UI的喵喵工具导航，https://newstyle-miaotool.netlify.app/,,TypeScript,0,0,0,0,main,2026-05-09T09:49:11Z,2026-05-09T10:12:04Z,2026-05-09T10:11:47Z,835,False,False,,MIT,ABC1319,User
606,navigate,ABC1319/navigate,https://github.com/ABC1319/navigate,欢迎来到时光导航站，这是一个集成了多种资源和服务的导航网站。在这里，你可以找到各种在线工具、学习资源、娱乐内容和实用信息，满足你的日常需求和兴趣探索。,https://abc1319.github.io/navigate/,,0,0,0,0,main,2025-06-03T14:01:30Z,2026-05-05T06:20:18Z,2024-12-19T11:40:07Z,3260,True,False,,,ABC1319,User
607,tools,ABC1319/tools,https://github.com/ABC1319/tools,我的常用工具集,http://tools.funzm.com/,,0,0,0,0,master,2026-05-05T06:08:30Z,2026-05-05T06:08:30Z,2026-01-14T10:26:09Z,372,True,False,,,ABC1319,User
608,personal-homepage,ABC1319/personal-homepage,https://github.com/ABC1319/personal-homepage,⚡ 沉浸式个人主页 | Immersive Personal Homepage,https://personal-homepage.vercel.de5.net,,0,0,0,0,main,2026-05-04T16:15:56Z,2026-05-04T16:33:56Z,2026-04-30T14:50:28Z,40008,True,False,,MIT,ABC1319,User
609,navsphere0,ABC1319/navsphere0,https://github.com/ABC1319/navsphere0,,,TypeScript,0,0,0,0,main,2026-05-04T14:23:48Z,2026-05-04T14:24:15Z,2026-05-04T14:23:58Z,2992,False,True,,MIT,ABC1319,User
610,TVlive,ABC1319/TVlive,https://github.com/ABC1319/TVlive,电视logo 整合，https://abc1319.github.io/TVlive/工具/tools,https://abc1319.github.io/TVlive/,JavaScript,0,0,0,0,main,2026-05-04T08:02:46Z,2026-05-04T08:08:00Z,2026-05-04T08:07:52Z,190262,True,False,,,ABC1319,User
611,IPTVindex,ABC1319/IPTVindex,https://github.com/ABC1319/IPTVindex,IPTVindex 直播点播索引,https://iptvindex.com,,0,0,0,0,main,2026-05-04T07:16:43Z,2026-05-04T07:16:44Z,2025-12-20T13:59:32Z,6614,True,False,,,ABC1319,User
612,jgdh,ABC1319/jgdh,https://github.com/ABC1319/jgdh,导航，https://jgdh.vercel.de5.net/,https://jgdh.vercel.app,JavaScript,0,0,0,0,main,2026-05-02T17:44:58Z,2026-05-03T16:47:00Z,2026-05-03T16:46:55Z,56,False,True,,,ABC1319,User
613,bookmark-navigator,ABC1319/bookmark-navigator,https://github.com/ABC1319/bookmark-navigator,导航,https://bookmark-navigator.vercel.app,HTML,0,0,0,0,main,2026-05-02T09:24:52Z,2026-05-02T10:07:08Z,2026-05-02T10:07:04Z,4640,False,False,,MIT,ABC1319,User
614,BookSync,ABC1319/BookSync,https://github.com/ABC1319/BookSync,一个简洁高效的浏览器书签备份和同步插件，支持本地备份和坚果云WebDAV存储。,,,0,0,0,0,main,2026-05-02T07:09:21Z,2026-05-02T07:09:22Z,2025-06-22T06:02:15Z,27,True,False,,MIT,ABC1319,User
615,bookmark66,ABC1319/bookmark66,https://github.com/ABC1319/bookmark66,书签管理器，可导入浏览器的书签并生成书签站点，支持搜索,,,0,0,0,0,master,2026-05-02T06:46:25Z,2026-05-02T06:46:25Z,2024-05-28T07:24:01Z,10116,True,False,,MulanPSL-2.0,ABC1319,User
616,BookMarkMap,ABC1319/BookMarkMap,https://github.com/ABC1319/BookMarkMap,一个可以将浏览器书签以思维导图形式展开的ai浏览器插件,,,0,0,0,0,main,2026-05-02T06:44:15Z,2026-05-02T06:44:16Z,2026-03-18T15:06:11Z,25244,True,False,,MIT,ABC1319,User
617,axutongxue-bookmarks,ABC1319/axutongxue-bookmarks,https://github.com/ABC1319/axutongxue-bookmarks,转换阿虚同学的储物间为可以直接导入为浏览器书签的HTML文件,,,0,0,0,0,main,2026-05-02T06:40:20Z,2026-05-02T06:40:20Z,2024-11-24T12:52:51Z,8,True,False,,,ABC1319,User
618,WeBooks,ABC1319/WeBooks,https://github.com/ABC1319/WeBooks,一个现代化拟态的浏览器书签管理工具,https://webooks.coldsea.vip,,0,0,0,0,main,2026-05-02T06:37:54Z,2026-05-02T06:37:54Z,2026-03-17T16:47:20Z,59524,True,False,,MIT,ABC1319,User
619,BookmarkGarden,ABC1319/BookmarkGarden,https://github.com/ABC1319/BookmarkGarden,一个基于PHP开发的美观、实用的书签管理网站系统，让你的浏览器书签变成独立的卡片式展示页面,,,0,0,0,0,main,2026-05-02T05:07:37Z,2026-05-02T05:07:37Z,2025-07-20T08:22:22Z,35,True,False,,,ABC1319,User
620,dream-site,ABC1319/dream-site,https://github.com/ABC1319/dream-site,一个以极简设计呈现的现代化个人导航站，帮助你高效访问常用网站与优质资源。,https://dream.baiwumm.com/,,0,0,0,0,main,2026-05-01T23:12:01Z,2026-05-01T23:12:01Z,2026-04-20T01:16:21Z,4939,True,False,,MIT,ABC1319,User
621,HyFreeDom,ABC1319/HyFreeDom,https://github.com/ABC1319/HyFreeDom,HyFreeDom是专业的免费二级域名申请平台，为用户提供免费的二级域名服务。支持自定义域名、DNS解析、域名管理等功能,https://freedns.hyper99.shop,,0,0,0,0,main,2026-04-27T14:48:43Z,2026-04-27T14:48:43Z,2026-01-31T07:09:46Z,870,True,False,,Apache-2.0,ABC1319,User
622,MarkdowntoPDF,ABC1319/MarkdowntoPDF,https://github.com/ABC1319/MarkdowntoPDF,Markdown转换PDF静态网站，https://md2pdf.vercel.de5.net/,https://abc1319.github.io/MarkdowntoPDF/,,0,0,0,0,main,2026-04-27T07:16:12Z,2026-04-27T07:52:31Z,2025-12-03T04:01:55Z,11,True,False,,,ABC1319,User
623,ai-markdown-to-word,ABC1319/ai-markdown-to-word,https://github.com/ABC1319/ai-markdown-to-word,AI Markdown 转 Word/PDF 工具,,,0,0,0,0,main,2026-04-27T07:10:05Z,2026-04-27T07:10:06Z,2026-04-20T08:58:13Z,4345,True,False,,,ABC1319,User
624,yt-dlp,ABC1319/yt-dlp,https://github.com/ABC1319/yt-dlp,A feature-rich command-line audio/video downloader,https://discord.gg/H5MNcFW63r,,0,0,0,0,master,2026-04-26T07:56:16Z,2026-04-26T07:56:16Z,2026-04-19T21:37:26Z,60449,True,False,,Unlicense,ABC1319,User
625,cq,ABC1319/cq,https://github.com/ABC1319/cq,,https://abc1319.github.io/cq/,,0,0,0,0,main,2026-04-25T15:58:35Z,2026-04-25T15:59:47Z,2026-04-22T14:01:23Z,1675,True,False,,,ABC1319,User
626,social-media-copilot,ABC1319/social-media-copilot,https://github.com/ABC1319/social-media-copilot,社媒助手开源版 - 小红书、抖音、快手等平台数据采集的浏览器插件，可通过API调用，支持Docker部署。,https://chromewebstore.google.com/detail/dbichmdlbjdeplpkhcejgkakobjbjalc,,0,0,0,0,main,2026-04-24T13:58:29Z,2026-04-24T13:58:29Z,2026-04-17T14:13:05Z,13990,True,False,,GPL-3.0,ABC1319,User
627,wx_channel,ABC1319/wx_channel,https://github.com/ABC1319/wx_channel,微信视频号下载工具,https://code.dongzuren.com,,0,0,0,0,main,2026-04-24T13:45:27Z,2026-04-24T13:45:27Z,2026-03-16T14:57:44Z,360565,True,False,,MIT,ABC1319,User
628,res-downloader,ABC1319/res-downloader,https://github.com/ABC1319/res-downloader,视频号、小程序、抖音、快手、小红书、直播流、m3u8、酷狗、QQ音乐等常见网络资源下载!,https://github.com/putyy/res-downloader,,0,0,0,0,master,2026-04-24T13:43:44Z,2026-04-24T13:43:45Z,2025-12-31T02:24:50Z,28657,True,False,,Apache-2.0,ABC1319,User
629,wechatDownload-qiye45,ABC1319/wechatDownload-qiye45,https://github.com/ABC1319/wechatDownload-qiye45,微信公众号文章批量下载工具，支持评论、合集下载，支持保存html/mhtml/md/pdf/docx/csv文件，保存文章内图片、视频、音频文件，支持MCP/Skill调用,https://changfengbox.top/wechat,,0,0,0,0,main,2026-04-24T13:42:27Z,2026-04-24T13:42:28Z,2026-04-09T12:54:33Z,97360,True,False,,,ABC1319,User
630,xhs_ai_publisher,ABC1319/xhs_ai_publisher,https://github.com/ABC1319/xhs_ai_publisher,"AI-powered Xiaohongshu/Rednote content creation and publishing tool with PyQt desktop UI, FastAPI service, login-state reuse, preview publish, and automated browser workflows.",https://xhsaipublisher.com/,,0,0,0,0,main,2026-04-24T13:22:20Z,2026-04-24T13:22:20Z,2026-04-06T09:07:25Z,131620,True,False,,Apache-2.0,ABC1319,User
631,xhs-cli,ABC1319/xhs-cli,https://github.com/ABC1319/xhs-cli,小红书命令行工具 — 搜索、阅读、点赞、收藏、评论，全在终端完成 | Xiaohongshu CLI,,,0,0,0,0,main,2026-04-24T13:20:02Z,2026-04-24T13:20:02Z,2026-03-14T12:23:55Z,412,True,False,,Apache-2.0,ABC1319,User
632,navhubi,ABC1319/navhubi,https://github.com/ABC1319/navhubi,导航自用，js/dataManager.js在这里面设置数据文件夹，https://navhubi.vercel.de5.net/,https://navhubi.vercel.app,JavaScript,0,0,0,0,main,2026-04-22T03:18:26Z,2026-04-22T14:03:13Z,2026-04-22T14:03:08Z,27778,False,True,,,ABC1319,User
633,LocalTranslator,ABC1319/LocalTranslator,https://github.com/ABC1319/LocalTranslator,本项目是一个基于Argos Translate的**完全离线、便携式**翻译引擎。配合ScreenTranslator 项目使用效果更佳。,,,0,0,0,0,main,2026-04-22T02:49:29Z,2026-04-22T02:49:29Z,2026-03-16T14:12:08Z,8,True,False,,,ABC1319,User
634,Deploy,ABC1319/Deploy,https://github.com/ABC1319/Deploy,部署，https://abc1319.github.io/Deploy/navhub/,https://abc1319.github.io/Deploy/,,0,0,0,0,main,2026-04-22T02:45:47Z,2026-04-22T02:47:39Z,2026-03-14T19:49:16Z,149979,True,False,,,ABC1319,User
635,NavHub,ABC1319/NavHub,https://github.com/ABC1319/NavHub,这是一个轻量、优雅且功能强大的纯前端个人导航/起始页。它使用基础的 HTML、CSS 和 Vanilla JavaScript 构建，无需复杂的构建工具或后端服务。,https://navhubo.vercel.app,JavaScript,0,0,0,0,main,2025-09-21T08:25:51Z,2026-04-22T02:42:06Z,2026-04-22T02:41:59Z,7476,True,False,,MIT,ABC1319,User
636,navhub6,ABC1319/navhub6,https://github.com/ABC1319/navhub6,Personal Website Navigation for Frequent Site Lookups,https://abc1319.github.io/navhub6/,,0,0,0,0,main,2026-04-22T02:21:26Z,2026-04-22T02:21:52Z,2026-04-22T01:03:38Z,1874,False,False,,,ABC1319,User
637,navhub.shenzjd.com,ABC1319/navhub.shenzjd.com,https://github.com/ABC1319/navhub.shenzjd.com,一个支持双向同步的个人导航网站，数据存储在 GitHub，支持离线使用。,https://navhub.shenzjd.com/,,0,0,0,0,main,2026-04-22T02:20:26Z,2026-04-22T02:20:26Z,2026-04-21T04:48:38Z,796,True,False,,,ABC1319,User
638,vue-ts-admin,ABC1319/vue-ts-admin,https://github.com/ABC1319/vue-ts-admin,管理后台,https://vue-ts-admin-seven.vercel.app,,0,0,0,0,master,2026-04-21T14:55:24Z,2026-04-21T15:25:30Z,2026-04-11T09:54:02Z,498,True,False,,,ABC1319,User
639,bookmarks-exporter,ABC1319/bookmarks-exporter,https://github.com/ABC1319/bookmarks-exporter,chrome extensions,,,0,0,0,0,main,2026-04-21T13:52:03Z,2026-04-21T13:52:03Z,2024-07-05T09:59:33Z,162,True,False,,MIT,ABC1319,User
640,dycms,ABC1319/dycms,https://github.com/ABC1319/dycms,DYCMS Website Navigation 网址导航、内容导航平台，人人都是生活的导航者！ (寻前端朋友构建定制化界面，欢迎联系),https://www.dongyao.ren/article/54.html,,0,0,0,0,master,2026-04-21T13:45:54Z,2026-04-21T13:45:54Z,2023-09-27T17:08:17Z,113861,True,False,,Apache-2.0,ABC1319,User
641,kuketang,ABC1319/kuketang,https://github.com/ABC1319/kuketang,酷课堂导航是一个免费、基于Vue+TS开发的网址导航，引入了Bootstrap-vue-next、TailwindCSS，界面优雅简洁，自适应客户端，直接修改构建后发布项目即可。,https://site.kuketang.cn/,,0,0,0,0,master,2026-04-21T13:39:46Z,2026-04-21T13:39:46Z,2025-06-18T00:32:57Z,1698,True,False,,AGPL-3.0,ABC1319,User
642,geshanzsq-nav,ABC1319/geshanzsq-nav,https://github.com/ABC1319/geshanzsq-nav,格姗导航，基于 Spring Boot、MyBatis Plus、Vue3、Element Plus 前后端分离的导航网站！,https://gesdh.cn,,0,0,0,0,master,2026-04-21T13:33:22Z,2026-04-21T13:33:22Z,2026-02-04T14:39:50Z,67479,True,False,,Apache-2.0,ABC1319,User
643,bookmarksdh,ABC1319/bookmarksdh,https://github.com/ABC1319/bookmarksdh,自用https://bookmarksdh.vercel.de5.net/,https://bookmarksdh.vercel.app,HTML,0,0,0,0,main,2026-04-21T06:02:28Z,2026-04-21T06:29:45Z,2026-04-21T06:29:41Z,8863,False,True,,,ABC1319,User
644,shuqianpage,ABC1319/shuqianpage,https://github.com/ABC1319/shuqianpage,"浏览器书签转换成我的个人导航网站,https://shuqianpage.vercel.de5.net/",https://abc1319.github.io/shuqianpage/,HTML,0,0,0,0,main,2026-03-21T06:05:24Z,2026-04-20T02:04:51Z,2026-03-21T07:58:24Z,1704,True,False,,,ABC1319,User
645,Bookmark-Converter,ABC1319/Bookmark-Converter,https://github.com/ABC1319/Bookmark-Converter,Browser Bookmark Converter - Chrome/Firefox to HTML，浏览器书签格式转换器 - 支持 Chrome/Firefox 转 HTML,,,0,0,0,0,main,2026-04-20T01:44:58Z,2026-04-20T01:44:58Z,2026-04-13T18:27:42Z,8249,False,False,,MIT,ABC1319,User
646,wownav_ts,ABC1319/wownav_ts,https://github.com/ABC1319/wownav_ts,一键导入浏览器书签📚，生成独立SEO导航站点✨,https://wownav.net,,0,0,0,0,master,2026-04-20T01:34:05Z,2026-04-20T01:34:05Z,2025-04-19T08:22:55Z,465,True,False,,,ABC1319,User
647,mytab,ABC1319/mytab,https://github.com/ABC1319/mytab,浏览器插件，通过自定义webdav来存储书签，支持历史备份，永不丢失,https://mytab-rho.vercel.app,,0,0,0,0,master,2026-04-20T01:32:39Z,2026-04-20T01:32:39Z,2026-04-14T05:45:48Z,1238,True,False,,MIT,ABC1319,User
648,sq,ABC1319/sq,https://github.com/ABC1319/sq,,https://abc1319.github.io/sq/,,0,0,0,0,main,2026-04-19T23:48:08Z,2026-04-19T23:48:43Z,2026-04-19T00:35:50Z,61,True,False,,,ABC1319,User
649,pansouo,ABC1319/pansouo,https://github.com/ABC1319/pansouo,,https://abc1319.github.io/pansouo/,,0,0,0,0,main,2026-04-19T23:44:48Z,2026-04-19T23:45:18Z,2026-04-14T07:48:26Z,7,True,False,,,ABC1319,User
650,iptv-sources,ABC1319/iptv-sources,https://github.com/ABC1319/iptv-sources,Autoupdate iptv sources,https://iptv-sources2.pages.dev/,,0,0,0,0,main,2026-04-19T00:50:09Z,2026-04-19T00:50:09Z,2026-04-18T14:24:49Z,1538,True,False,,GPL-3.0,ABC1319,User
651,search-nav,ABC1319/search-nav,https://github.com/ABC1319/search-nav,一个现代化的浏览器起始页和搜索导航工具，提供美观的界面、多主题支持和个性化书签管理。,https://search-nav.vercel.app,,0,0,0,0,main,2026-04-18T14:22:40Z,2026-04-18T14:23:25Z,2026-03-08T18:22:29Z,128,True,False,,,ABC1319,User
652,StartPage,ABC1319/StartPage,https://github.com/ABC1319/StartPage,基于 Vue 开发的浏览器起始页，以极简设计语言营造私密、静谧的浏览体验，让每一次打开都是优雅的回归。,https://start.zeink.cc,,0,0,0,0,main,2026-04-18T14:18:12Z,2026-04-18T14:18:12Z,2026-03-22T12:35:51Z,222,True,False,,MIT,ABC1319,User
